iter	Passed	Remaining
0	40	92259
1	85	96736
2	133	100407
3	171	96856
4	217	98480
5	259	97680
6	306	99034
7	349	98799
8	393	98703
9	436	98500
10	481	98774
11	526	98979
12	577	100057
13	645	103828
14	693	104099
15	742	104456
16	791	104767
17	837	104619
18	883	104540
19	929	104437
20	975	104376
21	1022	104356
22	1067	104112
23	1113	104070
24	1157	103765
25	1200	103442
26	1242	103068
27	1288	103037
28	1332	102802
29	1374	102476
30	1419	102362
31	1466	102392
32	1512	102400
33	1558	102387
34	1602	102218
35	1647	102084
36	1689	101843
37	1735	101827
38	1777	101535
39	1823	101516
40	1865	101267
41	1909	101136
42	1950	100885
43	1994	100784
44	2038	100665
45	2084	100624
46	2128	100555
47	2170	100347
48	2214	100230
49	2257	100115
50	2302	100046
51	2351	100180
52	2393	100002
53	2436	99863
54	2479	99737
55	2522	99587
56	2568	99576
57	2609	99393
58	2650	99210
59	2692	99047
60	2735	98940
61	2781	98907
62	2834	99167
63	2884	99294
64	2930	99290
65	2977	99305
66	3019	99135
67	3062	99035
68	3104	98900
69	3144	98706
70	3185	98541
71	3229	98445
72	3273	98372
73	3312	98179
74	3357	98139
75	3401	98059
76	3440	97844
77	3481	97699
78	3527	97695
79	3569	97580
80	3611	97478
81	3653	97361
82	3696	97254
83	3738	97151
84	3782	97086
85	3826	97045
86	3864	96845
87	3905	96709
88	3949	96644
89	3990	96527
90	4032	96417
91	4073	96309
92	4116	96236
93	4157	96101
94	4197	95959
95	4242	95946
96	4285	95877
97	4325	95727
98	4365	95602
99	4409	95555
100	4452	95482
101	4493	95374
102	4544	95481
103	4589	95443
104	4630	95340
105	4673	95283
106	4720	95293
107	4766	95287
108	4810	95231
109	4855	95207
110	4893	95039
111	4937	95001
112	4982	94975
113	5025	94918
114	5078	95027
115	5129	95108
116	5173	95066
117	5218	95038
118	5268	95098
119	5335	95458
120	5390	95601
121	5451	95846
122	5498	95839
123	5549	95913
124	5599	95953
125	5647	95965
126	5700	96052
127	5744	95992
128	5786	95898
129	5831	95861
130	5874	95789
131	5918	95722
132	5960	95635
133	6003	95562
134	6053	95596
135	6098	95558
136	6139	95452
137	6182	95384
138	6223	95279
139	6264	95168
140	6304	95060
141	6356	95124
142	6397	95015
143	6439	94937
144	6483	94877
145	6523	94763
146	6564	94670
147	6607	94601
148	6649	94515
149	6690	94420
150	6732	94342
151	6774	94269
152	6815	94174
153	6857	94091
154	6901	94038
155	6944	93969
156	6984	93867
157	7028	93815
158	7070	93734
159	7110	93630
160	7149	93520
161	7193	93471
162	7236	93409
163	7280	93354
164	7333	93427
165	7375	93351
166	7429	93422
167	7475	93403
168	7518	93335
169	7566	93334
170	7607	93248
171	7659	93293
172	7700	93204
173	7741	93125
174	7788	93102
175	7830	93034
176	7873	92965
177	7917	92925
178	7961	92863
179	8000	92764
180	8043	92696
181	8084	92621
182	8126	92549
183	8165	92442
184	8209	92391
185	8253	92345
186	8292	92237
187	8334	92161
188	8377	92104
189	8419	92039
190	8461	91967
191	8496	91824
192	8541	91783
193	8582	91709
194	8622	91621
195	8667	91580
196	8710	91525
197	8751	91447
198	8792	91372
199	8835	91318
200	8878	91260
201	8922	91217
202	8967	91178
203	9013	91155
204	9055	91082
205	9098	91030
206	9140	90961
207	9180	90875
208	9222	90808
209	9270	90810
210	9311	90734
211	9351	90646
212	9405	90697
213	9446	90628
214	9491	90585
215	9553	90710
216	9596	90661
217	9637	90580
218	9685	90573
219	9726	90497
220	9767	90423
221	9811	90383
222	9856	90345
223	9897	90271
224	9937	90188
225	9980	90132
226	10024	90086
227	10066	90026
228	10107	89951
229	10150	89897
230	10189	89806
231	10232	89756
232	10278	89726
233	10321	89677
234	10367	89647
235	10409	89582
236	10452	89529
237	10493	89463
238	10534	89392
239	10581	89370
240	10622	89300
241	10663	89230
242	10707	89182
243	10749	89126
244	10790	89051
245	10831	88989
246	10877	88955
247	10916	88871
248	10955	88785
249	10998	88733
250	11041	88680
251	11079	88595
252	11122	88538
253	11166	88495
254	11207	88432
255	11249	88366
256	11293	88329
257	11341	88310
258	11384	88264
259	11424	88191
260	11466	88129
261	11508	88069
262	11549	88003
263	11593	87961
264	11636	87910
265	11678	87851
266	11721	87803
267	11765	87757
268	11821	87807
269	11867	87772
270	11908	87708
271	11949	87644
272	11994	87610
273	12036	87553
274	12077	87486
275	12119	87426
276	12165	87395
277	12205	87326
278	12246	87265
279	12290	87215
280	12333	87165
281	12370	87073
282	12411	87010
283	12453	86955
284	12494	86891
285	12535	86828
286	12579	86786
287	12624	86750
288	12665	86683
289	12707	86633
290	12752	86594
291	12794	86539
292	12834	86470
293	12875	86405
294	12921	86373
295	12959	86294
296	13000	86229
297	13044	86189
298	13085	86128
299	13126	86067
300	13168	86011
301	13213	85973
302	13254	85915
303	13296	85856
304	13340	85814
305	13383	85768
306	13426	85719
307	13468	85663
308	13514	85636
309	13556	85577
310	13597	85518
311	13641	85480
312	13684	85428
313	13727	85379
314	13770	85335
315	13814	85290
316	13856	85237
317	13897	85179
318	13944	85151
319	13990	85122
320	14045	85150
321	14091	85118
322	14134	85068
323	14173	84996
324	14215	84941
325	14257	84890
326	14300	84841
327	14340	84775
328	14385	84738
329	14425	84671
330	14467	84616
331	14509	84568
332	14550	84506
333	14592	84455
334	14634	84401
335	14680	84369
336	14723	84319
337	14762	84251
338	14807	84215
339	14849	84164
340	14890	84103
341	14934	84060
342	14978	84019
343	15016	83941
344	15056	83878
345	15098	83829
346	15143	83790
347	15186	83741
348	15227	83683
349	15271	83642
350	15313	83593
351	15360	83563
352	15399	83498
353	15444	83462
354	15484	83395
355	15526	83345
356	15568	83295
357	15613	83257
358	15656	83210
359	15697	83155
360	15738	83094
361	15779	83037
362	15820	82983
363	15860	82919
364	15902	82866
365	15946	82825
366	15991	82789
367	16034	82740
368	16092	82772
369	16134	82720
370	16183	82704
371	16240	82732
372	16285	82695
373	16326	82638
374	16373	82610
375	16415	82556
376	16456	82498
377	16498	82447
378	16540	82395
379	16580	82337
380	16621	82276
381	16663	82226
382	16704	82172
383	16746	82119
384	16785	82051
385	16828	82007
386	16869	81949
387	16912	81902
388	16953	81848
389	17002	81828
390	17044	81777
391	17085	81720
392	17134	81702
393	17175	81650
394	17217	81599
395	17260	81552
396	17306	81518
397	17348	81467
398	17389	81411
399	17434	81374
400	17477	81327
401	17518	81272
402	17561	81225
403	17605	81184
404	17644	81123
405	17687	81074
406	17734	81046
407	17775	80992
408	17815	80931
409	17858	80887
410	17904	80851
411	17945	80798
412	17988	80750
413	18030	80700
414	18071	80648
415	18114	80602
416	18157	80556
417	18201	80512
418	18243	80461
419	18283	80404
420	18321	80337
421	18364	80288
422	18418	80292
423	18475	80308
424	18518	80260
425	18561	80213
426	18605	80171
427	18646	80119
428	18688	80068
429	18732	80026
430	18781	80005
431	18826	79967
432	18867	79913
433	18914	79884
434	18960	79853
435	19004	79811
436	19044	79753
437	19089	79712
438	19130	79661
439	19172	79607
440	19215	79564
441	19258	79515
442	19297	79453
443	19337	79396
444	19381	79353
445	19420	79293
446	19458	79228
447	19504	79192
